t=2026-03-24T17:40:50-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-24T17:40:50-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-24T17:40:50-0300 lvl=info msg="open config file" path=C:\\Users\\Owner\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-24T17:40:50-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-24T17:40:50-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-24T17:44:34-0300 lvl=info msg="join connections" obj=join id=011c4787e832 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:34-0300 lvl=info msg="join connections" obj=join id=c829ca963c05 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:36-0300 lvl=info msg="join connections" obj=join id=44c8c2df0e8d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:36-0300 lvl=info msg="join connections" obj=join id=1c20a61c6ba3 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:44:36-0300 lvl=info msg="join connections" obj=join id=8bc9dd5605be l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:49:11-0300 lvl=info msg="join connections" obj=join id=9d863beaeb58 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:49:11-0300 lvl=info msg="join connections" obj=join id=3a18bccad42c l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:49:31-0300 lvl=info msg="join connections" obj=join id=7697b18901ed l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:49:46-0300 lvl=info msg="join connections" obj=join id=ae643382a4d1 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:49:46-0300 lvl=info msg="join connections" obj=join id=0fd0ce4b55c0 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:21-0300 lvl=info msg="join connections" obj=join id=7c01d66bed83 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:21-0300 lvl=info msg="join connections" obj=join id=d781a990e7db l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:39-0300 lvl=info msg="join connections" obj=join id=3c4e5ae72860 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:39-0300 lvl=info msg="join connections" obj=join id=05efede85d95 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:39-0300 lvl=info msg="join connections" obj=join id=d270b6c03d79 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:39-0300 lvl=info msg="join connections" obj=join id=47beb7e52efb l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=fd9a951fec80 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=959ec7a343be l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=49365089e769 l=127.0.0.1:3000 r=181.46.138.67:2811
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=9cdc01a2a33b l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=1486a3084cdf l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:40-0300 lvl=info msg="join connections" obj=join id=aea93158f56d l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:41-0300 lvl=info msg="join connections" obj=join id=d04794fe565b l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:41-0300 lvl=info msg="join connections" obj=join id=135776f3f076 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:41-0300 lvl=info msg="join connections" obj=join id=ea070059813c l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:41-0300 lvl=info msg="join connections" obj=join id=25a427ae1ba7 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:41-0300 lvl=info msg="join connections" obj=join id=7dca078ffa81 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:50:42-0300 lvl=info msg="join connections" obj=join id=cca3bbfd28c6 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:56:06-0300 lvl=info msg="join connections" obj=join id=6b7d70e0df65 l=127.0.0.1:3000 r=181.46.138.67:2838
t=2026-03-24T17:56:10-0300 lvl=info msg="join connections" obj=join id=f030c91fde86 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:10-0300 lvl=info msg="join connections" obj=join id=a714e7bc2918 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:10-0300 lvl=info msg="join connections" obj=join id=e552b9aae24b l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:10-0300 lvl=info msg="join connections" obj=join id=43442d19f873 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:17-0300 lvl=info msg="join connections" obj=join id=0498fbf09d45 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:17-0300 lvl=info msg="join connections" obj=join id=a06b1ffc1c50 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=c287665bee5c l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=2a1d2192e5ce l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=5874f2974670 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=3c35318407b8 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=cf38ac0e50e8 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=88d29de44cfc l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=f1241e7eef63 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=e7abecab5016 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=941b4ceeee66 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=b12fcd44b4fd l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=ab98a9a8df14 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=0725ace263b2 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=01cedd90e46f l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=529e1cfa05da l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=8f62ac5f5adc l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=20d1d488af09 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=8d2dcc582193 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=8a1381280124 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=fdfe153b0558 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=77e72481fb65 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=a0dd8b404d63 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=e1db088d9a7e l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=450319cb2f82 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=28d74dca57eb l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=d174a8b37bc7 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=4d8cfdaa9b8b l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=a1dd7cde6f51 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=67658e09f251 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=caa53ca45981 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=63eed27ae428 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=826461207abe l=127.0.0.1:3000 r=181.46.138.67:2921
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=436673bac668 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=6f3dfeb55ffd l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=f00fe571ecee l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=198bdd86841f l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=bef3ec95e7f8 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=7ec4c5c5d7d0 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=008c22d4363b l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=80be92350da3 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=f902ca36a8f0 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=cc922c5c107d l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=4dc4c34d1211 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=2a9104025687 l=127.0.0.1:3000 r=181.46.138.67:2963
t=2026-03-24T17:56:45-0300 lvl=info msg="join connections" obj=join id=6e59ba398354 l=127.0.0.1:3000 r=181.46.138.67:2963
